Start Time,Number of Trips
2019-04-20,36784
2019-04-21,51865
2019-04-22,44109
2019-04-23,75434
2019-04-24,77723
2019-04-25,60821
2019-04-26,37115
2019-04-27,56434
2019-04-28,41200
2019-04-29,60789
2019-04-30,62660
2019-05-01,60897
2019-05-02,68701
2019-05-03,62405
2019-05-04,56023
2019-05-05,16169
2019-05-06,69914
2019-05-07,72824
2019-05-08,76389
2019-05-09,66681
2019-05-10,68039
2019-05-11,69788
2019-05-12,10729
2019-05-13,22296
2019-05-14,42780
2019-05-15,74307
2019-05-16,77878
2019-05-17,72112
2019-05-18,73143
2019-05-19,69920
2019-05-20,74489
2019-05-21,79254
2019-05-22,82007
2019-05-23,56575
2019-05-24,74857
2019-05-25,59492
2019-05-26,49950
2019-05-27,66595
2019-05-28,59432
2019-05-29,55089
2019-05-30,52481
2019-05-31,83347
2019-06-01,76419
2019-06-02,67298
2019-06-03,77694
2019-06-04,83299
2019-06-05,78805
2019-06-06,81356
2019-06-07,82950
2019-06-08,78096
2019-06-09,73972
2019-06-10,37024
2019-06-11,78052
2019-06-12,85042
2019-06-13,49195
2019-06-14,80613
2019-06-15,73899
2019-06-16,55523
2019-06-17,72530
2019-06-18,36402
2019-06-19,63674
2019-06-20,59926
2019-06-21,65686
2019-06-22,76612
2019-06-23,75546
2019-06-24,80028
2019-06-25,65885
2019-06-26,83301
2019-06-27,81577
2019-06-28,78682
2019-06-29,62714
2019-06-30,63570
2019-07-01,78238
2019-07-02,78158
2019-07-03,74223
2019-07-04,52712
2019-07-05,58723
2019-07-06,50897
2019-07-07,61485
2019-07-08,68030
2019-07-09,83708
2019-07-10,84219
2019-07-11,54495
2019-07-12,81075
2019-07-13,76860
2019-07-14,67911
2019-07-15,81053
2019-07-16,84569
2019-07-17,69169
2019-07-18,61067
2019-07-19,75054
2019-07-20,50576
2019-07-21,48198
2019-07-22,52376
2019-07-23,66278
2019-07-24,87644
2019-07-25,86449
2019-07-26,82881
2019-07-27,72256
2019-07-28,67672
2019-07-29,78766
2019-07-30,80742
2019-07-31,65580
2019-08-01,87706
2019-08-02,82260
2019-08-03,77285
2019-08-04,66868
2019-08-05,82393
2019-08-06,82515
2019-08-07,52193
2019-08-08,79609
2019-08-09,80280
2019-08-10,82793
2019-08-11,73365
2019-08-12,81371
2019-08-13,75004
2019-08-14,75603
2019-08-15,84883
2019-08-16,81541
2019-08-17,78121
2019-08-18,56347
2019-08-19,73963
2019-08-20,82301
2019-08-21,73026
2019-08-22,73740
2019-08-23,63765
2019-08-24,74220
2019-08-25,71900
2019-08-26,79027
2019-08-27,82744
2019-08-28,65082
2019-08-29,83267
2019-08-30,76815
2019-08-31,64237
2019-09-01,62667
2019-09-02,37792
2019-09-03,83716
2019-09-04,84833
2019-09-05,89656
2019-09-06,55227
2019-09-07,78220
2019-09-08,72515
2019-09-09,84809
2019-09-10,87584
2019-09-11,90448
2019-09-12,70159
2019-09-13,87636
2019-09-14,75457
2019-09-15,78968
2019-09-16,82106
2019-09-17,93117
2019-09-18,90306
2019-09-19,89655
2019-09-20,90534
2019-09-21,98755
2019-09-22,76422
2019-09-23,85489
2019-09-24,93044
2019-09-25,94015
2019-09-26,84593
2019-09-27,93268
2019-09-28,81603
2019-09-29,75753
2019-09-30,76553
2019-10-01,87033
2019-10-02,79821
2019-10-03,39067
2019-10-04,83360
2019-10-05,69131
2019-10-06,60532
2019-10-07,77323
2019-10-08,80569
2019-10-09,50407
2019-10-10,84856
2019-10-11,79369
2019-10-12,70751
2019-10-13,67616
2019-10-14,77630
2019-10-15,83345
2019-10-16,44056
2019-10-17,67322
2019-10-18,73589
2019-10-19,66879
2019-10-20,28551
2019-10-21,78441
2019-10-22,54806
2019-10-23,80480
2019-10-24,83431
2019-10-25,81152
2019-10-26,68073
2019-10-27,26758
2019-10-28,76742
2019-10-29,53188
2019-10-30,68639
2019-10-31,49656
2019-11-01,70641
2019-11-02,58579
2019-11-03,52253
2019-11-04,70117
2019-11-05,73768
2019-11-06,72714
2019-11-07,56782
2019-11-08,50295
2019-11-09,37993
2019-11-10,42121
2019-11-11,64883
2019-11-12,39188
2019-11-13,43945
2019-11-14,54642
2019-11-15,59521
2019-11-16,36896
2019-11-17,32100
2019-11-18,35621
2019-11-19,57419
2019-11-20,57625
2019-11-21,62696
2019-11-22,51063
2019-11-23,40088
2019-11-24,18146
2019-11-25,58709
2019-11-26,63638
2019-11-27,51356
2019-11-28,16173
2019-11-29,23219
2019-11-30,26517
2019-12-01,10759
2019-12-02,18018
2019-12-03,39230
2019-12-04,47384
2019-12-05,49027
2019-12-06,51607
2019-12-07,34510
2019-12-08,32308
2019-12-09,15221
2019-12-10,42435
2019-12-11,38180
2019-12-12,45360
2019-12-13,32961
2019-12-14,30263
2019-12-15,33886
2019-12-16,41717
2019-12-17,19303
2019-12-18,37898
2019-12-19,29451
2019-12-20,34209
2019-12-21,24247
2019-12-22,23726
2019-12-23,37364
2019-12-24,25894
2019-12-25,13082
2019-12-26,25226
2019-12-27,31808
2019-12-28,28520
2019-12-29,17968
2019-12-30,12138
2019-12-31,31510
2020-01-01,18114
2020-01-02,41556
2020-01-03,31873
2020-01-04,29436
2020-01-05,27589
2020-01-06,42738
2020-01-07,46535
2020-01-08,42400
2020-01-09,39344
2020-01-10,50800
2020-01-11,56538
2020-01-12,53121
2020-01-13,49438
2020-01-14,44144
2020-01-15,54251
2020-01-16,45247
2020-01-17,34122
2020-01-18,13301
2020-01-19,25935
2020-01-20,24230
2020-01-21,37399
2020-01-22,43415
2020-01-23,48258
2020-01-24,51334
2020-01-25,17734
2020-01-26,36121
2020-01-27,46534
2020-01-28,48816
2020-01-29,47386
2020-01-30,45603
2020-01-31,47284
2020-02-01,35542
2020-02-02,28593
2020-02-03,53522
2020-02-04,52478
2020-02-05,50544
2020-02-06,32156
2020-02-07,32643
2020-02-08,32783
2020-02-09,32635
2020-02-10,26732
2020-02-11,37789
2020-02-12,49336
2020-02-13,37413
2020-02-14,36921
2020-02-15,21598
2020-02-16,27276
2020-02-17,40946
2020-02-18,44104
2020-02-19,49313
2020-02-20,42686
2020-02-21,38686
2020-02-22,39443
2020-02-23,46544
2020-02-24,56349
2020-02-25,39568
2020-02-26,45207
2020-02-27,43411
2020-02-28,43360
2020-02-29,29252
2020-03-01,31878
2020-03-02,56946
2020-03-03,49723
2020-03-04,58670
2020-03-05,58686
2020-03-06,34135
2020-03-07,39448
2020-03-08,46994
2020-03-09,68768
2020-03-10,64277
2020-03-11,61816
2020-03-12,51332
2020-03-13,43343
2020-03-14,44239
2020-03-15,36140
2020-03-16,29481
2020-03-17,24331
2020-03-18,30496
2020-03-19,20842
2020-03-20,31327
2020-03-21,31712
2020-03-22,19891
2020-03-23,3999
2020-03-24,20863
2020-03-25,12066
2020-03-26,21996
2020-03-27,26504
2020-03-28,8871
2020-03-29,9646
2020-03-30,15041
2020-03-31,14996
2020-04-01,20363
2020-04-02,19012
2020-04-03,11309
2020-04-04,28867
2020-04-05,25755
2020-04-06,24660
2020-04-07,23646
2020-04-08,20744
2020-04-09,14192
2020-04-10,16276
2020-04-11,33142
2020-04-12,31564
2020-04-13,7797
2020-04-14,25283
2020-04-15,22188
2020-04-16,19570
2020-04-17,18893
2020-04-18,15909
2020-04-19,47049
2020-04-20,21882
2020-04-21,17050
2020-04-22,23783
2020-04-23,19125
2020-04-24,12610
2020-04-25,58898
2020-04-26,9586
2020-04-27,17795
2020-04-28,39619
2020-04-29,21653
2020-04-30,14542
2020-05-01,24945
2020-05-02,72808
2020-05-03,63731
2020-05-04,32356
2020-05-05,35078
2020-05-06,17274
2020-05-07,43677
2020-05-08,17326
2020-05-09,27747
2020-05-10,54504
2020-05-11,22729
2020-05-12,35998
2020-05-13,40592
2020-05-14,41586
2020-05-15,52903
2020-05-16,80292
2020-05-17,63553
2020-05-18,39154
2020-05-19,40934
2020-05-20,45558
2020-05-21,48560
2020-05-22,47441
2020-05-23,23012
2020-05-24,72889
2020-05-25,67876
2020-05-26,53062
2020-05-27,55071
2020-05-28,46091
2020-05-29,53356
2020-05-30,87081
2020-05-31,80706
2020-06-01,52926
2020-06-02,46471
2020-06-03,28766
2020-06-04,39659
2020-06-05,33064
2020-06-06,56263
2020-06-07,80441
2020-06-08,60847
2020-06-09,61666
2020-06-10,63108
2020-06-11,43845
2020-06-12,72497
2020-06-13,89690
2020-06-14,79731
2020-06-15,57555
2020-06-16,65295
2020-06-17,63989
2020-06-18,62094
2020-06-19,79280
2020-06-20,80792
2020-06-21,72206
2020-06-22,59788
2020-06-23,67299
2020-06-24,66784
2020-06-25,69578
2020-06-26,73638
2020-06-27,59221
2020-06-28,69104
2020-06-29,61574
2020-06-30,65102
2020-07-01,63406
2020-07-02,73394
2020-07-03,59329
2020-07-04,70988
2020-07-05,64523
2020-07-06,45976
2020-07-07,67810
2020-07-08,63321
2020-07-09,76374
2020-07-10,22777
2020-07-11,66573
2020-07-12,84290
2020-07-13,69017
2020-07-14,76968
2020-07-15,78340
2020-07-16,79248
2020-07-17,69834
2020-07-18,80408
2020-07-19,66789
2020-07-20,58285
2020-07-21,70557
2020-07-22,51988
2020-07-23,65592
2020-07-24,66790
2020-07-25,87636
2020-07-26,72734
2020-07-27,62474
2020-07-28,70368
2020-07-29,77064
2020-07-30,72109
2020-07-31,70846
2020-08-01,89044
2020-08-02,70067
2020-08-03,67219
2020-08-04,44588
2020-08-05,81812
2020-08-06,79130
2020-08-07,59956
2020-08-08,90237
2020-08-09,82767
2020-08-10,68992
2020-08-11,75292
2020-08-12,66069
2020-08-13,62427
2020-08-14,83758
2020-08-15,92784
2020-08-16,38651
2020-08-17,70358
2020-08-18,81799
2020-08-19,71467
2020-08-20,81247
2020-08-21,84814
2020-08-22,87086
2020-08-23,81801
2020-08-24,71136
2020-08-25,72067
2020-08-26,88080
2020-08-27,69313
2020-08-28,78167
2020-08-29,71287
2020-08-30,92434
2020-08-31,75665
2020-09-01,76674
2020-09-02,69998
2020-09-03,71317
2020-09-04,85339
2020-09-05,89572
2020-09-06,83006
2020-09-07,83897
2020-09-08,79236
2020-09-09,84416
2020-09-10,52907
2020-09-11,94644
2020-09-12,101462
2020-09-13,84682
2020-09-14,79263
2020-09-15,84118
2020-09-16,86977
2020-09-17,87490
2020-09-18,89018
2020-09-19,89985
2020-09-20,77666
2020-09-21,72111
2020-09-22,82861
2020-09-23,90600
2020-09-24,86938
2020-09-25,93712
2020-09-26,99262
2020-09-27,87411
2020-09-28,78056
2020-09-29,59816
2020-09-30,85791
2020-10-01,89718
2020-10-02,81001
2020-10-03,95562
2020-10-04,80662
2020-10-05,75795
2020-10-06,85634
2020-10-07,81263
2020-10-08,83990
2020-10-09,87644
2020-10-10,93919
2020-10-11,75426
2020-10-12,16405
2020-10-13,51885
2020-10-14,88404
2020-10-15,91295
2020-10-16,30689
2020-10-17,88338
2020-10-18,76910
2020-10-19,73336
2020-10-20,76195
2020-10-21,84145
2020-10-22,83848
2020-10-23,86939
2020-10-24,90596
2020-10-25,61869
2020-10-26,51135
2020-10-27,78030
2020-10-28,62847
2020-10-29,19072
2020-10-30,39546
2020-10-31,66771
2020-11-01,32600
2020-11-02,50610
2020-11-03,62112
2020-11-04,65204
2020-11-05,74725
2020-11-06,82142
2020-11-07,98467
2020-11-08,86147
2020-11-09,75799
2020-11-10,84365
2020-11-11,46257
2020-11-12,40704
2020-11-13,48657
2020-11-14,75263
2020-11-15,51003
2020-11-16,57607
2020-11-17,54480
2020-11-18,44054
2020-11-19,51425
2020-11-20,68483
2020-11-21,75233
2020-11-22,46012
2020-11-23,42599
2020-11-24,53102
2020-11-25,56843
2020-11-26,30687
2020-11-27,53108
2020-11-28,53202
2020-11-29,52557
2020-11-30,23257
2020-12-01,53067
2020-12-02,47330
2020-12-03,53146
2020-12-04,40441
2020-12-05,31809
2020-12-06,40743
2020-12-07,41591
2020-12-08,41083
2020-12-09,37053
2020-12-10,51890
2020-12-11,59906
2020-12-12,53499
2020-12-13,61081
2020-12-14,25786
2020-12-15,44793
2020-12-16,26329
2020-12-17,179
2020-12-18,14964
2020-12-19,16738
2020-12-20,16340
2020-12-21,31415
2020-12-22,37256
2020-12-23,40454
2020-12-24,32606
2020-12-25,11850
2020-12-26,19791
2020-12-27,23764
2020-12-28,38784
2020-12-29,33202
2020-12-30,35705
2020-12-31,26334
2021-02-01,249
2021-02-03,6488
2021-02-04,18792
2021-02-05,24378
2021-02-06,31236
2021-02-07,8308
2021-02-08,18534
2021-02-09,22482
2021-02-10,28232
2021-02-11,22979
2021-02-12,26009
2021-02-13,23084
2021-02-14,23441
2021-02-15,23404
2021-02-16,31048
2021-02-17,30902
2021-02-18,7630
2021-02-19,12061
2021-02-20,24992
2021-02-21,26475
2021-02-22,19553
2021-02-23,33534
2021-02-24,46049
2021-02-25,43427
2021-02-26,44560
2021-02-27,30815
2021-02-28,21321
2021-03-01,34575
2021-03-02,32100
2021-03-03,50122
2021-03-04,40247
2021-03-05,36338
2021-03-06,33478
2021-03-07,35352
2021-03-08,38478
2021-03-09,60231
2021-03-10,54876
2021-03-11,68394
2021-03-12,69490
2021-03-13,53517
2021-03-14,43533
2021-03-15,34394
2021-03-16,38031
2021-03-17,47314
2021-03-18,22554
2021-03-19,43779
2021-03-20,65050
2021-03-21,68873
2021-03-22,56194
2021-03-23,61564
2021-03-24,32777
2021-03-25,64657
2021-03-26,71615
2021-03-27,84712
2021-03-28,25256
2021-03-29,52598
2021-03-30,65613
2021-03-31,45382
2021-04-01,45527
2021-04-02,42831
2021-04-03,61218
2021-04-04,63335
2021-04-05,68141
2021-04-06,76225
2021-04-07,77680
2021-04-08,81552
2021-04-09,68187
2021-04-10,87596
2021-04-11,20135
2021-04-12,33647
2021-04-13,78682
2021-04-14,80113
2021-04-15,33032
2021-04-16,59414
2021-04-17,77508
2021-04-18,80652
2021-04-19,73000
2021-04-20,96136
2021-04-21,61764
2021-04-22,57101
2021-04-23,82793
2021-04-24,104081
2021-04-25,58487
2021-04-26,71658
2021-04-27,79576
2021-04-28,96329
2021-04-29,70576
2021-04-30,80693
2021-05-01,92840
2021-05-02,93982
2021-05-03,60831
2021-05-04,87014
2021-05-05,49749
2021-05-06,93267
2021-05-07,91204
2021-05-08,59759
2021-05-09,53317
2021-05-10,71172
2021-05-11,89079
2021-05-12,94864
2021-05-13,100737
2021-05-14,107380
2021-05-15,118947
2021-05-16,97138
2021-05-17,95272
2021-05-18,105861
2021-05-19,109860
2021-05-20,108242
2021-05-21,112908
2021-05-22,116548
2021-05-23,107595
2021-05-24,89255
2021-05-25,107021
2021-05-26,97890
2021-05-27,112627
2021-05-28,62800
2021-05-29,30059
2021-05-30,17684
2021-05-31,89263
2021-06-01,99573
2021-06-02,106594
2021-06-03,70048
2021-06-04,86683
2021-06-05,121395
2021-06-06,106230
2021-06-07,98146
2021-06-08,74855
2021-06-09,112234
2021-06-10,121449
2021-06-11,108165
2021-06-12,117030
2021-06-13,102599
2021-06-14,84536
2021-06-15,119250
2021-06-16,122295
2021-06-17,121569
2021-06-18,123279
2021-06-19,107584
2021-06-20,107581
2021-06-21,102005
2021-06-22,75603
2021-06-23,123507
2021-06-24,120793
2021-06-25,116700
2021-06-26,119114
2021-06-27,110176
2021-06-28,98770
2021-06-29,103439
2021-06-30,96879
2021-07-01,68032
2021-07-02,78222
2021-07-03,68506
2021-07-04,101586
2021-07-05,97873
2021-07-06,77415
2021-07-07,102959
2021-07-08,74962
2021-07-09,86388
2021-07-10,109422
2021-07-11,103497
2021-07-12,87995
2021-07-13,105516
2021-07-14,110458
2021-07-15,112495
2021-07-16,108290
2021-07-17,82404
2021-07-18,99926
2021-07-19,102779
2021-07-20,111610
2021-07-21,108763
2021-07-22,118499
2021-07-23,112630
2021-07-24,125255
2021-07-25,98074
2021-07-26,98845
2021-07-27,106224
2021-07-28,112498
2021-07-29,76099
2021-07-30,115771
2021-07-31,121921
2021-08-01,94679
2021-08-02,103225
2021-08-03,108968
2021-08-04,109238
2021-08-05,109461
2021-08-06,109439
2021-08-07,115283
2021-08-08,75469
2021-08-09,96518
2021-08-10,92686
2021-08-11,97930
2021-08-12,99798
2021-08-13,98733
2021-08-14,111796
2021-08-15,108622
2021-08-16,102332
2021-08-17,107430
2021-08-18,106531
2021-08-19,104854
2021-08-20,102352
2021-08-21,96396
2021-08-22,15853
2021-08-23,76861
2021-08-24,109287
2021-08-25,106715
2021-08-26,103688
2021-08-27,88710
2021-08-28,104347
2021-08-29,102478
2021-08-30,101175
2021-08-31,111979
2021-09-01,50787
2021-09-02,126475
2021-09-03,115073
2021-09-04,109117
2021-09-05,87510
2021-09-06,106337
2021-09-07,106927
2021-09-08,113136
2021-09-09,77654
2021-09-10,126613
2021-09-11,133587
2021-09-12,117228
2021-09-13,105993
2021-09-14,118480
2021-09-15,118368
2021-09-16,109637
2021-09-17,111916
2021-09-18,124651
2021-09-19,116470
2021-09-20,109099
2021-09-21,113240
2021-09-22,113378
2021-09-23,86742
2021-09-24,115901
2021-09-25,125193
2021-09-26,113560
2021-09-27,106811
2021-09-28,96558
2021-09-29,111536
2021-09-30,112583
2021-10-01,115828
2021-10-02,120155
2021-10-03,108304
2021-10-04,73613
2021-10-05,103932
2021-10-06,110685
2021-10-07,115335
2021-10-08,115808
2021-10-09,108091
2021-10-10,69386
2021-10-11,97257
2021-10-12,108314
2021-10-13,109850
2021-10-14,116278
2021-10-15,118471
2021-10-16,99243
2021-10-17,90860
2021-10-18,87314
2021-10-19,100118
2021-10-20,112026
2021-10-21,113734
2021-10-22,111571
2021-10-23,91369
2021-10-24,85039
2021-10-25,92446
2021-10-26,48015
2021-10-27,97986
2021-10-28,100689
2021-10-29,82622
2021-10-30,79170
2021-10-31,85726
2021-11-01,89655
2021-11-02,82811
2021-11-03,87259
2021-11-04,85758
2021-11-05,86279
2021-11-06,84659
2021-11-07,79380
2021-11-08,84958
2021-11-09,96712
2021-11-10,98195
2021-11-11,92925
2021-11-12,69975
2021-11-13,71475
2021-11-14,63193
2021-11-15,68372
2021-11-16,77280
2021-11-17,85554
2021-11-18,94672
2021-11-19,74090
2021-11-20,69554
2021-11-21,65383
2021-11-22,63652
2021-11-23,61201
2021-11-24,57450
2021-11-25,35034
2021-11-26,31985
2021-11-27,37424
2021-11-28,41660
2021-11-29,58569
2021-11-30,64170
2021-12-01,74033
2021-12-02,79362
2021-12-03,72585
2021-12-04,68161
2021-12-05,62509
2021-12-06,67735
2021-12-07,67189
2021-12-08,65876
2021-12-09,66553
2021-12-10,75593
2021-12-11,64261
2021-12-12,62109
2021-12-13,68299
2021-12-14,75703
2021-12-15,73103
2021-12-16,80607
2021-12-17,78035
2021-12-18,39513
2021-12-19,40310
2021-12-20,45540
2021-12-21,50951
2021-12-22,41926
2021-12-23,41284
2021-12-24,31319
2021-12-25,16406
2021-12-26,31737
2021-12-27,31583
2021-12-28,40728
2021-12-29,39656
2021-12-30,46925
2021-12-31,48696
